Title,Year,Genres,Directors,Writers,Cast,Plot,Runtime,Country,Language,Awards,Rating,MovieCode
Bhaag Johnny,2015,"Action, Fantasy, Thriller","Shivam Nair, Amit Patel",Vikram Bhatt,"Kunal Kemmu, Zoa Morani, Mandana Karimi, Manasi Scott, Mukul Dev, Arun Bali, Vikram Bhatt, Bikramjeet Kanwarpal, Mohan Kapur, Asseem Merchant","Forced to kill a woman, Johnny is granted the opportunity to live two lives, one in which he kills her and the other where he attempts to save her.",['118'],India,Hindi,,5.1,3619710
"Brother, Superhit!",2018,"Action, Comedy, Drama",Neeraj Pathak,Nothing from IMDB,"Sunny Deol, Preity G Zinta, Arshad Warsi, Ameesha Patel, Shreyas Talpade, Jaideep Ahlawat, Sanjay Mishra, Brijendra Kala, Amit Mistry, Hemant Pandey",,['139'],India,Hindi,,3.9,2150177
Bharat,2019,"Action, Comedy, Drama",Ali Abbas Zafar,Nothing from IMDB,"Salman Khan, Katrina Kaif, Sunil Grover, Tabu, Jackie Shroff, Sonali Kulkarni, Kashmira Irani, Aashif Sheikh, Disha Patani, Satish Kaushik","'Bharat' is a journey of a man and a nation together. At the cusp of India's birth as an independent nation, a family makes an arduous journey to freedom. However, this freedom comes at a cost. An eight-year-old boy, Bharat, makes a promise to his father that he will keep his family together no matter what--a promise that he keeps over the next 60 years of his life, despite each decade throwing a new set of challenges at him--some humorous, some thrilling, some romantic, and some life-threatening. His resilience, loyalty and a never dying spirit mirror the fundamental qualities of our nation--Bharat. Interestingly, the movie is an official adaptation of Korean film 'An Ode to My Father (2014), which depicted modern Korean history from the 1950s to the present day through the life of an ordinary man.",['150'],India,Hindi,,4.7,7721800
Bhaukaal,2020,"Action, Crime",Nothing from IMDB,"Harman Baweja, Akash Mohimen, Jay Sheela Bansal","Mohit Raina, Siddhant Kapoor, Bidita Bag, Rashmi Rajput, Pradeep Nagar, Gulki Joshi, Amitt k Singh, Sanyam Srivastav, Simran Nisha, Digambar Prasad","When the deeply driven and newlywed, Naveen Sikhera gets promoted and sent to Muzaffarnagar, the ' crime capital of India' as the Senior Superintendent of Police, his peers and media dub it more as a punishment. Muzaffarnagar is ruled by two gangs, Mohammad Shaukeen Khan and the Dedha brothers who had systematically divided the land into two parts . With no witnesses willing to testify and the police seemingly fearful of wanting to apprehend the known culprits, Naveen charts out his three-pronged strategy. First, the Police force needs to start believing in themselves, second, have the locals rekindle their faith in the Police and third, let it be known to the gangsters that Naveen Sikhera wouldn't bow down till he makes Muzaffarnagar the safest district of the heartland. He includes his Meerut team in his operation, infiltrates his moles into the gangs, begins mobile surveillance, battles the media and politicians, wins the respect of both the locals and his very own Police force with his drive to clean the system. Taking the reins in his hands, Sikhera starts cleansing the city and undertakes numerous encounters leading to the destruction of the Shaukeen gang and making in-roads into the operations of the Dedha gang. This is the story of a man who left a cushy life and soon became one of the most feared and loved officers but with a price to pay, but then again every revolution is built on sacrifices and this one unfortunately had it's unfair share.",['30'],India,Hindi,,7.8,9359338
Bheja Fry,2007,"Comedy, Drama",Sagar Ballary,Nothing from IMDB,"Vinay Pathak, Rajat Kapoor, Sarika Thakur, Milind Soman, Ranvir Shorey, Bhairavi Goswami, Tom Alter, Harsh Chhaya, Sharat Katariya, Sushma Kaul","Ranjeet Thadani lives a wealthy lifestyle in Mumbai along with his wife, Sheetal, who is a singer, while he manages Soundtrack Industries. At the request of his friend, Jagdish Verma, he decides to invite a singer and Libran, Bharat Bhushan, to his residence for dinner, as well as listen to him sing. Ranjeet, suffering from back pain, does not realize that Bharat is also an Income-Tax Inspector, and upon arrival at Ranjeet's residence, will virtually and hilariously turn his life upside down.",['95'],India,Hindi,,7.6,1014672
Bhindi Baazaar Inc.,2011,"Crime, Drama, Thriller",Ankush Bhatt,Nothing from IMDB,"Kay Kay Menon, Prashant Narayanan, Pawan Malhotra, Adil Feroz Khan, Shilpa Shukla, Gautam Sharma, Shweta Varma, Vedita Pratap Singh, Caterina Lopez, Allauddin Khan","Set in the underbelly of Mumbai; in the notorious by-lanes where 'Greed is a Culture' and 'Deceit becomes a Compulsion' 'Bhindi Baazaar Incorporation' revolves around gangs of pickpockets who consider pick pocketing as an art. They use their intelligence as a canvas and their spontaneity as a brush to survive in this dangerous lively hood. 'Bhindi Baazaar Inc.' is the story of a pawn and his calculated moves to reach the end of the chessboard. Revolving around a crime syndicate who are in the business of pickpocket, the film starts with a game of chess between two characters 'Shroff' and 'Darzi'. Each move unfolds their story and eventually the motive of their meeting. The story unravels the quest of a small time pickpocket 'Fateh' next in line to be a MAMU (local area-head). The screenplay underlines the gritty politics, hierarchy, rules, commands, intelligence, wit and betrayal within the business.",['157'],India,"Hindi, Marathi",,6.0,1667823
Bhool Bhulaiyaa 2,2022,"Comedy, Drama, Horror",Anees Bazmee,Nothing from IMDB,"Tabu, Kartik Aaryan, Kiara Advani, Rajpal Naurang Yadav, Amar Upadhyay, Sanjay Mishra, Ashwini Kalsekar, Milind Gunaji, Rajesh Sharma, Sajida Khan","An accidental, yet destined meet up between two strangers Ruhaan and Reet, ends up with them visiting Reet's home town in Rajasthan. Fate leads them to opening up an old secret due to which all hell breaks loose leading to one lie, leading to a whole pile of lies sends Ruhaan and Reet on a scary rollercoaster ride and their tragedy keeps becoming our comedy.",['143'],India,Hindi,,5.7,6455162
Bhoot Police,2021,"Comedy, Horror",Pavan Kirpalani,Nothing from IMDB,"Saif Ali Khan, Arjun Kapoor, Jacqueline Fernandez, Yami Gautam, Jaaved Jaaferi, Rajpal Naurang Yadav, Amit Mistry, Girish Kulkarni, Saurabh Sachdeva, Jamie Lever",Two fraudster brothers Vibhooti and Chiraunji pretend to be exorcist and con people by making them believe that they can free them from evil spirits and are under scanner of Inspector Cheddilal.Vidhooti is womanizer and believes in earning money by looting people with scriptures attained from their late father Ullat Baba but Chiraunji repents after every con as he feels they are misusing scriptures of their father.Maya owner of Silvar tea estate is running into losses she is trying to get things in place but her village is haunted by a ghost Kichkandi and they fear working in night.She comes in search of Vibhooti and Chiraunji as many years back their father had freed the village from Kichkandi.Upon reaching the village Vibhooti and Chiraunji meet Maya's elder sister Kanika who disbelieves her story and makes the villagers aware that there is nothing called ghost.But Vibhooti and Chiraunji along with Maya and villagers face the fear.,['129'],India,Hindi,,6.9,10083640
Bhoot: Part One - The Haunted Ship,2020,"Horror, Mystery, Thriller",Bhanu Pratap Singh,Bhanu Pratap Singh,"Vicky Kaushal, Ashutosh Rana, Meher Vij, Akash Dhar, Sara Gesawat, Priya Chauhan, Sanjay Gurbaxani, Bhumi Pednekar, Siddhant Kapoor, Inayah Chowdhry","When an abandoned and dilapidated ship called the Sea Bird mysteriously runs aground on the shores of Mumbai, one man is assigned to close the case. But the sinister stories surrounding the ship may have more truth to them than he previously thought.",['114'],India,Hindi,,5.4,10463030
Bhoot Police,2021,"Comedy, Horror",Pavan Kirpalani,Nothing from IMDB,"Saif Ali Khan, Arjun Kapoor, Jacqueline Fernandez, Yami Gautam, Jaaved Jaaferi, Rajpal Naurang Yadav, Amit Mistry, Girish Kulkarni, Saurabh Sachdeva, Jamie Lever",Two fraudster brothers Vibhooti and Chiraunji pretend to be exorcist and con people by making them believe that they can free them from evil spirits and are under scanner of Inspector Cheddilal.Vidhooti is womanizer and believes in earning money by looting people with scriptures attained from their late father Ullat Baba but Chiraunji repents after every con as he feels they are misusing scriptures of their father.Maya owner of Silvar tea estate is running into losses she is trying to get things in place but her village is haunted by a ghost Kichkandi and they fear working in night.She comes in search of Vibhooti and Chiraunji as many years back their father had freed the village from Kichkandi.Upon reaching the village Vibhooti and Chiraunji meet Maya's elder sister Kanika who disbelieves her story and makes the villagers aware that there is nothing called ghost.But Vibhooti and Chiraunji along with Maya and villagers face the fear.,['129'],India,Hindi,,6.9,10083640
